ItemCode,ItemName,Warehouse,BinCode,QtyInBin,TotalOnHand,InvntryUom,FrozenFor
00925711-HTZ,AIR DUCTING,01,01-03C64,0.0,0.0,UN,N
00929703-HTZ,CONNECTING ROD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00930800-HTZ,DIPSTICK D,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00932700-HTZ,SPACER BUSHING,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00935522-HTZ,SIDE PANEL,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00947801-HTZ,BREATHER VALVE,01,01-03C40,0.0,0.0,UN,N
00950310-HTZ,BLOWER DUCT 2-4L,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00952900-HTZ,REPLACED BY 00952901,01,01-01B02,0.0,0.0,UN,N
00952900-HTZ,REPLACED BY 00952901,01,01-5A01,0.0,0.0,UN,N
00952900-HTZ,REPLACED BY 00952901,01,01-6A01,0.0,0.0,UN,N
00952901-HTZ,AIR FILTER L&M (00952900),01,01-6A01,19.0,19.0,UN,N
00952901-HTZ,AIR FILTER L&M (00952900),01,01-SYSTEM-BIN-LOCATION,0.0,19.0,UN,N
00956200-HTZ,ROCKER HOUSING,01,01-03E20,0.0,0.0,UN,N
00957500-HTZ,HOUSING OIL SEAL,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00959000-HTZ,FAN,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00961302-HTZ,MAINTEN.KIT-487,01,01-03D12,1.0,1.0,UN,N
00987106-HTZ,MAINT KIT 2L/M41,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00989701-HTZ,FAN WITH PULLEY,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00991901-HTZ,GASKET,01,01-03H16,1.0,1.0,UN,N
00992202-HTZ,GSK SET CYL HEAD L/M31/41,01,01-03I12,2.0,2.0,UN,N
00993201-HTZ,TIMING COVER,01,01-03A42,1.0,1.0,UN,N
00993901-HTZ,TOOLS,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
00994901-HTZ,COVERCAPS.START.SD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
